vector,line,age,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
488,23,5,7.220516333533928,-1.5818157222059004,970,0,8,2,1,3,7,2,5,5,0,1121,2,0,1,1,3,8,5,6,2,3,979,7,7,0,4,20,4,0,1,1,8,971,0,12,0,2,8,8,0,0,7,1,938,1,11,2,4,13,1,0,1,12,0,859,18,2,10,2,3,3,7,0,10,5,912,0,5,1,0,1,11,6,2,1,0,969,3,3,2,6,9,7,4,5,2,1,927,4,1,0,0,4,19,5,1,22,3,967
489,23,6,5.3460835776066915,-1.7676295062379974,971,0,8,1,1,3,7,3,5,5,0,1122,2,0,1,1,3,8,4,6,1,4,983,6,8,0,4,19,3,0,2,1,8,977,0,9,0,2,7,8,0,0,6,0,941,1,11,3,5,15,0,0,1,10,0,861,18,2,10,2,2,2,7,0,8,5,911,0,5,1,1,1,10,8,3,2,0,970,4,3,2,5,7,6,4,6,3,1,928,3,1,0,0,2,16,4,1,20,3,966
490,23,7,4.430309265163753,-2.0808382027608685,972,0,8,1,1,3,6,3,4,4,0,1123,1,0,0,1,3,6,4,6,1,4,985,5,8,0,4,18,3,0,2,1,7,980,0,9,0,2,6,8,0,0,6,0,943,1,10,3,3,14,0,0,1,9,0,864,17,2,10,2,1,1,6,0,8,3,914,0,4,1,1,1,10,7,3,3,0,974,6,4,2,5,8,6,3,5,3,1,930,2,1,0,0,2,16,3,1,19,4,968
491,23,8,-1.4298898589226692,-2.946812465005653,971,0,7,1,1,4,6,2,4,4,0,1123,1,0,0,0,3,6,2,6,1,5,988,4,5,0,4,16,3,0,2,1,7,982,0,8,0,2,6,8,0,0,5,0,950,1,10,3,3,14,0,0,1,8,0,866,17,3,10,2,2,1,6,0,6,2,914,0,4,1,1,1,10,7,2,3,0,976,6,4,2,4,7,6,3,5,3,2,932,2,1,0,0,2,15,3,1,18,4,968
492,23,9,-1.7859593367203572,-2.9765071831792564,972,0,6,1,1,3,6,2,5,3,0,1125,1,0,0,0,3,6,2,5,1,4,991,4,5,0,4,15,3,1,2,1,7,983,0,8,0,2,6,8,0,0,6,0,951,1,8,3,3,14,0,0,1,6,0,868,17,3,10,1,1,1,5,0,5,2,916,0,4,1,1,0,9,7,2,3,0,978,5,2,2,4,6,7,3,4,3,2,932,3,1,0,0,2,15,3,1,17,4,971
493,23,10,-2.1201494849897236,-2.920547352627646,974,0,6,1,1,3,6,2,6,3,0,1123,1,0,0,0,3,6,2,5,1,5,992,4,4,0,4,16,3,1,2,1,7,980,0,7,0,1,7,7,0,0,4,2,954,1,9,3,3,12,0,0,1,7,0,869,17,4,10,1,0,1,5,0,3,2,915,0,4,1,1,0,8,8,2,3,0,980,5,3,1,5,8,7,3,4,3,2,930,3,1,0,0,1,15,3,1,14,4,973
494,23,11,-15.646930674161291,-4.322690225455939,974,0,6,1,1,3,6,2,6,3,0,1123,1,0,0,0,3,6,2,5,1,5,997,5,5,0,4,18,3,1,2,1,6,979,0,8,0,2,7,6,0,0,4,2,956,1,9,3,3,11,1,1,1,8,0,869,19,3,10,1,0,1,3,0,2,2,913,0,4,1,0,0,8,8,0,3,0,981,5,4,1,4,6,6,3,4,3,2,930,2,1,0,0,1,15,2,1,11,4,975
495,23,12,-15.798815967232597,-4.127408946425846,975,0,6,1,1,3,6,2,5,3,0,1125,1,2,0,0,3,6,2,5,1,4,997,4,4,0,4,18,3,1,1,1,6,980,0,8,1,2,6,7,0,0,4,2,961,1,9,3,4,10,1,0,1,8,0,870,18,3,10,1,0,1,3,0,2,1,913,0,4,1,0,1,8,6,0,3,0,983,4,4,1,3,6,6,3,4,3,2,931,3,1,0,0,1,11,2,1,9,5,974
496,23,13,-15.809494821086934,-3.976177275592284,975,0,6,1,1,3,7,2,6,3,0,1125,1,2,0,0,3,5,2,5,1,4,997,4,4,0,5,17,3,1,1,1,7,979,0,8,1,2,7,7,0,0,4,2,959,1,7,3,4,8,1,0,1,8,0,870,18,3,9,1,0,1,3,0,2,1,913,0,4,2,0,1,8,6,0,3,1,985,4,4,1,3,5,6,3,4,3,2,929,2,1,0,0,2,13,2,0,9,6,976
497,23,14,-15.954412827753583,-3.9397366332698667,974,0,7,1,1,3,7,2,5,3,0,1125,0,2,0,0,3,5,2,5,1,4,997,4,4,0,5,17,3,1,1,1,5,981,0,8,1,2,6,6,1,0,3,2,958,1,8,3,4,8,1,0,1,7,0,871,19,3,9,1,0,1,2,0,2,1,911,0,4,2,0,1,12,6,0,2,1,985,4,4,1,3,5,6,2,4,3,2,931,2,1,0,0,1,15,2,0,9,6,977
