vector,line,algo,oldage,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
14,0,0.01,14,-4.230636545189435,-4.388523868569138,956,0,7,3,1,9,11,2,4,15,0,1103,5,1,3,3,3,12,7,6,0,2,936,16,6,4,7,26,10,3,2,3,14,921,1,33,2,3,20,11,1,1,12,3,921,7,12,9,7,32,8,1,0,23,1,782,17,1,27,12,7,4,7,2,11,14,898,1,11,1,1,2,19,14,2,8,2,945,8,18,5,19,27,20,8,26,6,0,869,6,0,0,5,7,28,6,0,29,11,905
15,0,0.01,15,-4.084380369250839,-4.281918982908822,956,0,7,3,1,9,11,2,4,14,0,1105,5,1,3,2,3,12,7,6,0,2,941,16,6,4,7,25,10,3,2,3,14,923,0,34,2,3,19,11,1,1,10,3,922,5,12,10,9,32,8,1,0,22,0,785,17,1,24,14,7,4,7,2,11,14,898,1,11,1,1,2,19,14,2,7,2,947,8,18,5,17,24,19,8,26,6,0,872,5,0,0,5,7,29,6,0,27,10,905
16,0,0.01,16,-3.9675160326583,-4.144605806987283,958,0,7,4,1,8,12,2,4,12,0,1108,4,1,2,2,3,12,6,6,0,2,944,16,6,3,7,24,8,4,2,2,14,925,0,31,2,3,19,11,1,1,10,2,922,5,11,9,10,32,7,1,0,22,0,790,16,1,23,14,7,4,7,2,12,16,899,1,12,1,1,2,17,13,2,6,2,948,8,18,4,15,24,18,8,25,6,0,874,5,0,0,5,7,29,6,0,28,10,906
17,0,0.01,17,-3.850242512679086,-4.003383847492483,958,0,7,4,1,8,11,1,4,11,0,1108,4,1,2,3,3,11,5,6,0,2,944,16,6,3,7,24,8,4,2,2,14,925,0,31,2,3,18,11,1,1,10,2,922,4,11,9,10,32,7,1,0,22,0,792,15,1,23,15,7,4,7,2,12,14,901,1,12,1,1,2,17,13,2,6,2,951,8,18,4,15,24,18,8,25,6,0,876,5,0,0,5,7,29,6,0,27,10,906
18,0,0.01,18,-3.4079361039562017,-4.193512099861668,958,0,7,4,1,8,10,1,4,11,0,1108,4,1,2,3,3,11,5,6,0,2,945,15,6,3,7,24,8,4,2,2,14,930,0,31,2,3,17,10,1,1,10,2,923,4,11,8,10,32,7,1,0,21,0,796,15,1,23,15,7,4,7,2,12,13,902,1,12,1,1,2,17,12,2,5,2,953,8,18,4,15,23,16,8,23,6,0,877,5,0,0,5,7,28,6,0,26,10,907
19,0,0.01,19,-3.588726833579047,-3.740678033745842,959,0,7,4,1,8,10,1,4,11,0,1108,4,1,2,3,3,11,4,6,0,2,947,14,6,3,7,24,9,4,2,2,14,931,0,28,1,3,17,9,1,1,9,2,924,4,11,8,10,32,6,1,0,21,0,801,15,1,19,15,7,4,7,2,12,13,903,1,12,1,1,2,17,12,2,5,2,953,8,18,4,15,22,16,8,22,6,0,881,5,0,0,5,7,27,5,0,26,10,908
20,0,0.01,20,-3.428936686960349,-3.628363032239447,959,0,8,4,1,8,10,1,4,11,0,1109,4,1,1,3,3,11,4,6,0,2,948,14,6,3,7,24,9,4,2,2,14,934,0,28,1,3,16,9,1,1,9,2,925,4,12,8,10,31,6,1,0,21,0,803,13,1,19,15,7,4,6,1,12,13,904,1,12,1,1,2,16,10,2,5,2,953,8,18,4,14,22,16,8,21,6,0,882,5,0,0,5,7,27,4,0,26,10,909
21,1,0.02,0,-6.722777371580542,-7.464494947671357,290,109,149,252,218,420,298,247,258,128,461,479,176,251,179,265,132,400,136,359,6,4,5,10,14,3,18,15,34,9,80,65,47,101,62,68,76,6,43,41,0,0,5,0,9,5,0,2,2,1,86,325,352,274,363,59,272,298,418,402,2,0,3,4,5,1,0,0,8,6,43,66,261,73,102,55,122,47,51,23,11,87,31,45,26,16,40,13,24,40,1,0,3,0,4,0,0,0,0,0
22,1,0.02,1,-6.147225049110748,-6.877466157312776,916,0,20,26,1,87,29,13,8,31,1,1090,39,29,18,19,10,44,54,14,6,13,826,58,16,27,26,39,47,7,13,1,18,763,1,87,1,1,35,9,4,3,30,6,815,30,17,32,5,212,5,0,0,15,0,413,12,1,16,3,20,4,26,33,28,82,850,4,33,3,9,2,30,30,29,64,2,881,26,123,5,22,39,45,6,74,11,2,735,16,1,0,4,5,68,9,0,11,15,591
23,1,0.02,2,-5.474146128918974,-6.248703378038095,938,0,14,6,1,18,14,7,6,14,1,1088,14,4,6,9,3,25,13,8,1,4,871,22,6,8,7,32,11,5,2,3,20,891,1,52,1,5,28,13,2,1,23,1,877,16,21,16,8,70,16,3,0,28,0,702,27,1,29,11,12,5,14,6,16,30,875,2,16,1,2,2,23,17,4,17,0,913,14,35,6,29,46,27,8,36,10,0,833,11,0,0,7,8,63,4,0,27,16,841
