vector,line,age,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
10,0,10,22.25494095939425,4.242284862942668,971,0,7,1,1,4,8,1,5,3,0,1122,2,0,1,1,3,9,2,6,1,3,997,6,6,0,2,14,1,0,0,1,3,981,0,7,1,1,3,4,1,0,2,0,951,0,4,1,7,8,1,0,1,8,0,864,14,1,7,7,2,4,1,0,4,7,921,0,4,1,1,2,11,5,1,2,2,990,7,6,2,3,7,5,1,5,3,3,929,2,1,0,1,4,17,2,0,8,9,972
11,0,11,22.354433413010046,4.209032911093257,971,0,7,0,1,4,8,2,5,3,0,1123,2,0,0,1,3,8,2,6,1,3,997,6,6,0,2,13,1,0,0,1,3,983,0,8,1,1,3,4,1,0,2,0,952,0,4,1,8,8,1,0,1,8,0,862,14,1,7,7,2,3,1,0,4,7,921,0,3,1,1,2,11,5,1,2,2,992,6,7,2,3,7,4,2,6,3,2,930,2,1,0,1,4,16,2,0,8,9,971
12,0,12,22.448698856357076,4.138731538706857,972,0,7,0,1,4,5,2,5,3,0,1123,2,0,0,1,3,9,2,5,1,3,998,5,6,0,3,12,1,0,0,1,3,984,0,6,1,2,2,4,2,0,3,0,953,0,4,1,7,8,1,0,0,7,0,864,13,1,7,7,1,3,0,0,4,7,923,0,3,1,1,2,10,5,1,2,2,990,6,4,1,3,8,5,2,6,4,2,932,2,1,0,1,4,15,2,0,9,9,975
13,0,13,22.558954399464152,4.275703413242224,971,0,8,0,1,4,6,2,5,3,0,1123,2,1,1,1,3,9,2,5,1,3,997,4,6,0,3,13,1,0,0,1,3,985,0,6,1,2,3,4,2,0,3,0,952,0,4,1,7,7,1,0,0,7,0,864,12,1,6,6,1,3,0,0,4,7,923,0,3,1,1,2,10,4,1,2,2,989,6,4,2,3,8,5,2,6,4,3,933,2,1,0,1,4,15,2,0,8,8,977
14,0,14,22.633654170578534,4.279051737986098,971,0,8,0,1,4,5,2,5,3,1,1122,2,1,0,1,3,8,2,5,1,3,1000,4,9,0,2,13,1,0,0,1,2,985,0,5,1,2,3,4,2,0,3,0,951,1,4,1,7,7,1,0,0,7,0,866,13,1,6,6,1,4,0,0,1,6,924,0,3,1,1,2,9,4,1,2,2,990,6,3,1,3,7,5,2,6,4,3,932,2,1,0,1,4,17,1,0,8,9,978
15,0,15,22.693174436931102,4.287232824049524,971,0,8,0,1,4,5,2,6,3,1,1123,2,1,0,1,3,8,2,5,1,3,1000,4,8,0,2,13,1,0,0,1,2,985,0,6,1,2,4,5,2,0,3,0,952,1,4,1,7,7,1,0,0,7,0,868,13,0,6,6,1,4,0,0,2,4,924,0,2,1,0,1,8,4,1,2,2,990,5,3,1,3,8,5,2,5,4,3,932,2,2,0,1,4,16,1,0,9,9,977
16,0,16,22.742623534209297,4.297074946516671,972,0,8,0,1,4,5,2,6,3,1,1123,1,1,0,1,3,7,1,5,1,3,998,5,8,0,2,14,0,0,0,1,3,983,0,6,1,2,5,4,2,0,3,0,954,1,5,1,7,8,1,0,0,8,0,868,13,0,6,6,1,4,1,0,2,4,923,0,2,1,0,1,9,4,0,2,2,990,5,2,0,3,8,5,2,5,4,3,933,2,2,0,1,4,15,1,0,9,9,978
17,0,17,22.783742101751947,4.303351186511332,972,0,8,1,1,4,5,2,6,3,1,1122,2,1,0,1,3,7,1,5,2,3,997,3,8,0,2,13,0,0,0,1,3,983,0,7,1,2,5,3,2,0,3,0,953,1,4,1,6,8,1,0,0,8,0,867,13,0,6,6,1,4,1,0,2,4,924,0,2,1,0,2,10,4,0,2,2,991,5,2,0,3,7,6,3,5,4,3,933,2,1,0,1,4,15,1,0,9,10,979
18,0,18,22.807764547091956,4.009114526036321,972,0,9,1,1,4,5,2,5,3,1,1123,2,1,0,1,3,7,1,5,1,3,996,4,8,0,2,13,0,0,1,1,3,983,0,7,1,2,5,3,2,0,3,0,955,1,4,1,5,8,1,1,0,8,0,867,14,0,7,5,1,4,1,0,1,4,924,0,2,1,0,1,10,4,0,2,2,992,5,2,0,2,7,5,2,5,3,3,935,2,1,0,1,4,15,1,0,8,9,980
19,0,19,22.85351620380985,4.319747012906601,972,0,9,1,0,4,5,2,5,3,1,1124,3,1,0,1,4,7,1,5,1,2,995,4,8,0,2,12,0,0,1,1,3,983,0,7,1,2,5,3,2,0,3,0,955,1,4,1,5,7,1,1,0,8,0,867,13,0,7,6,1,4,1,0,1,4,924,0,2,1,0,1,10,3,0,2,2,991,5,2,0,2,7,6,2,5,3,3,935,2,1,0,1,4,16,1,0,10,9,980
20,0,20,22.86228989724657,3.986900055680599,972,0,8,1,0,4,5,2,5,3,1,1124,3,1,0,1,4,7,1,6,1,2,995,5,8,0,2,12,0,0,1,1,3,981,0,7,1,2,5,3,2,0,3,0,954,1,4,1,6,7,1,1,0,9,0,866,13,0,7,6,1,4,1,0,1,4,924,0,2,1,0,1,10,3,0,2,2,991,5,2,0,2,7,6,3,6,3,3,934,2,1,0,2,4,16,1,0,10,9,979
21,1,0,-2.509417703949787,-2.36469326645502,10,5,13,36,46,26,45,6,13,46,243,189,447,281,240,305,317,209,222,317,1,0,0,4,12,1,0,8,5,9,79,63,91,76,80,123,30,17,102,14,250,151,191,232,185,137,258,112,285,200,135,114,97,66,81,78,148,440,57,175,19,15,23,6,28,24,10,20,30,15,162,538,98,83,66,103,68,89,197,44,2,10,7,53,28,21,8,6,9,41,79,50,65,173,216,74,74,121,54,148
22,1,1,6.40312699136906,-3.531215232650086,963,0,8,5,2,6,17,2,5,11,0,1111,8,0,2,2,3,13,8,5,0,2,931,16,8,1,2,26,8,3,2,4,16,926,0,22,0,3,24,9,0,0,10,3,906,5,9,7,6,18,4,2,0,26,1,818,18,2,20,8,7,4,10,2,12,11,904,0,10,1,1,2,12,10,3,5,1,934,10,19,2,10,28,17,7,16,4,2,872,7,1,0,9,5,41,6,0,39,11,928
