"x","y","line","user","task","algo","accuracy","autoCompleteUsed","rankOfPredictionUsed","difficulty","supported","training","isGroundTruth","turnedPrediction","selectedCoordsNorm","multiplicity[1;129]"
-0.35123478688955084,-0.557430187701331,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,False,"[]",129
-0.3133381936011462,1.6759713964048737,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}]",105
-0.3133381936011462,1.6759713964048737,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}]",105
-5.9614846300911335,2.402578362781903,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}]",6
-5.9614846300911335,2.402578362781903,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}]",6
3.2185123096382044,1.070044076401333,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}]",12
-1.112909992260048,7.19907114355862,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,True,"[{'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.6955774546779485, 'y': 0.6046213356880543}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.549153928133318, 'y': 0.38006936730981167}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",17
-1.112909992260048,7.19907114355862,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,True,"[{'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.6955774546779485, 'y': 0.6046213356880543}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.549153928133318, 'y': 0.38006936730981167}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",17
-1.3122936045946805,7.104157486857619,8,"5c66bbd0d0fb37000172fdfe","out_easy_task_2","out_easy_task_2",0.5,True,1,"easy",True,False,False,True,"[{'x': 0.2865741971375917, 'y': 0.8183616672485627}, {'x': 0.2447922345156678, 'y': 0.7577433191212274}, {'x': 0.549153928133318, 'y': 0.38006936730981167}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",1
-0.35123478688955084,-0.557430187701331,9,"5b1efc25bdf4e1000163af46","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",True,False,False,False,"[]",129
-0.3133381936011462,1.6759713964048737,9,"5b1efc25bdf4e1000163af46","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}]",105
-0.35123478688955084,-0.557430187701331,10,"5dd58b43149f5354a6124a41","out_easy_task_2","out_easy_task_2",0.6666666666666667,False,-1,"easy",True,False,False,False,"[]",129
-5.818771457143549,2.2487395418429226,10,"5dd58b43149f5354a6124a41","out_easy_task_2","out_easy_task_2",0.6666666666666667,False,-1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",91
-0.35123478688955084,-0.557430187701331,11,"5edc195a95d5090e1c3f91b2","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",False,False,False,"N/A","[]",129
-0.3133381936011462,1.6759713964048737,11,"5edc195a95d5090e1c3f91b2","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}]",105
-5.818771457143549,2.2487395418429226,11,"5edc195a95d5090e1c3f91b2","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",91
-6.737934348633508,2.3040865171887748,11,"5edc195a95d5090e1c3f91b2","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 0.6293289359671014, 'y': 0.0}]",58
