x,y,line,cp,algo,oldage,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1,multiplicity,age,groupLabel,clusterProbability
-10.762546075544504,-41.23235454493046,22,0,0,35,,,,br,,,,br,bp,bk,,,bq,,bb,,,bp,,bp,,bn,bp,,bn,,bp,,,bp,,bp,wq,,wp,wp,bp,,,,,,,,wp,,,wp,wp,wp,wn,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3211009174311927,-1,0
-10.790885808282756,-41.23519467284793,22,0,0,36,,,,br,,,,br,bp,bk,,,bq,,bb,,,bp,bn,bp,,bn,bp,,,,bp,,,bp,,bp,wq,,wp,wp,bp,,,,,,,,wp,,,wp,wp,wp,wn,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3302752293577982,-1,0
-10.896871143676107,-41.227198580096584,22,0,0,37,,,,br,,,,br,bp,bk,,,bq,,bb,,,bp,bn,bp,,bn,bp,,,,bp,,,bp,,bp,wq,wp,wp,wp,bp,,,,,,,,wp,,,wp,wp,,wn,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3394495412844037,-1,0
-10.907493838389119,-41.22296770698444,22,0,0,38,,,,br,,,,br,bp,bk,,,bq,,bb,,,bp,bn,bp,,bn,bp,,,,,,,bp,,bp,wq,bp,wp,wp,bp,,,,,,,,wp,,,wp,wp,,wn,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3486238532110092,-1,0
-11.034623460444179,-41.207436512271094,22,0,0,39,,,,br,,,,br,bp,bk,,,bq,,bb,,,bp,bn,bp,,bn,bp,,,,,wp,,bp,,bp,wq,bp,wp,,bp,,,,,,,,wp,,,wp,wp,,wn,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3577981651376147,-1,0
-11.024456790982438,-41.201254951195644,22,0,0,40,,,,br,,,,br,bp,bk,,,bq,,bb,,,bp,,bp,,bn,bp,,bn,,,wp,,bp,,bp,wq,bp,wp,,bp,,,,,,,,wp,,,wp,wp,,wn,wn,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3669724770642202,-1,0
-11.085122955812238,-41.19650165582623,22,0,0,41,,,,br,,,,br,bp,bk,,,bq,,bb,,,bp,,bp,,bn,bp,,bn,,,wp,,bp,,bp,wq,bp,wp,,bp,,,,,wn,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3761467889908257,-1,0
-11.15482945595693,-41.18651930024256,22,0,0,42,,,br,,,,,br,bp,bk,,,bq,,bb,,,bp,,bp,,bn,bp,,bn,,,wp,,bp,,bp,wq,bp,wp,,bp,,,,,wn,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3853211009174312,-1,0
-11.172594610045504,-41.180152687645794,22,0,0,43,,,br,,,,,br,bp,bk,,,bq,,bb,,,bp,,bp,,bn,bp,,wn,,,wp,,bp,,bp,wq,bp,wp,,bp,,,,,,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,wr,,,wr,,1,0.3944954128440367,-1,0
-11.223597518666521,-41.167163460806194,22,0,0,44,,,br,,,,,br,bp,bk,,,bq,,bb,,,,,bp,,bn,bp,,bp,,,wp,,bp,,bp,wq,bp,wp,,bp,,,,,,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,wr,,,wr,,1,0.4036697247706422,-1,0
-11.270530970430642,-41.15840335659621,22,0,0,45,,,br,,,,,br,bp,bk,,,bq,,bb,,,,,bp,,bn,bp,,wq,,,wp,,bp,,bp,,bp,wp,,bp,,,,,,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,wr,,,wr,,1,0.41284403669724773,-1,0
-11.326949873679899,-41.14389735151304,22,0,0,46,,,,,,,,br,bp,bk,,,bq,,bb,,,,,bp,,bn,bp,,wq,,br,wp,,bp,,bp,,bp,wp,,bp,,,,,,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,wr,,,wr,,1,0.42201834862385323,-1,0
-11.392072132748385,-41.12613359698276,22,0,0,47,,,,,,,,br,bp,bk,,,bq,,bb,,,,,bp,,bn,bp,,,,br,wp,,bp,,bp,,wq,wp,,bp,,,,,,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,wr,,,wr,,1,0.43119266055045874,-1,0
-11.56136199406749,-41.084996917064366,22,0,0,48,bk,,,,,,,br,bp,,,,bq,,bb,,,,,bp,,bn,bp,,,,br,wp,,bp,,bp,,wq,wp,,bp,,,,,,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,wr,,,wr,,1,0.44036697247706424,-1,0
-11.707620913639346,-41.04921268961503,22,0,0,49,bk,,,,,,,br,bp,,,,bq,,bb,,,,,bp,,bn,bp,,,,br,wp,,bp,,bp,,wq,wp,wr,bp,,,,,,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,,,,wr,,1,0.44954128440366975,-1,0
-11.835850782197683,-41.016702648258914,22,0,0,50,bk,,,,,,,br,bp,,,bn,bq,,bb,,,,,bp,,,bp,,,,br,wp,,bp,,bp,,wq,wp,wr,bp,,,,,,,,wp,,,wp,wp,,wn,,,wp,wp,wb,,,wk,,,,wr,,1,0.45871559633027525,-1,0
-11.963647418559628,-40.97725631486254,22,0,0,51,bk,,,,,,,br,bp,,,bn,bq,,bb,,,,,bp,,,bp,,,,br,wp,,bp,,bp,,wq,wp,wr,bp,,,,wn,,,,wp,,,wp,wp,,,,,wp,wp,wb,,,wk,,,,wr,,1,0.46788990825688076,-1,0
-12.0692713994285,-40.94602065735129,22,0,0,52,bk,br,,,,,,,bp,,,bn,bq,,bb,,,,,bp,,,bp,,,,br,wp,,bp,,bp,,wq,wp,wr,bp,,,,wn,,,,wp,,,wp,wp,,,,,wp,wp,wb,,,wk,,,,wr,,1,0.47706422018348627,-1,0
-12.084441155159363,-40.937221775695534,22,0,0,53,bk,br,,,,,,,bp,,,bn,bq,,bb,,,,,bp,,,bp,,,,br,wp,,bp,,bp,wq,,wp,wr,bp,,,,wn,,,,wp,,,wp,wp,,,,,wp,wp,wb,,,wk,,,,wr,,1,0.48623853211009177,-1,0
-12.109472621514229,-40.93235191328796,22,0,0,54,bk,br,,,,,,,bp,,,,bq,,bb,,,bn,,bp,,,bp,,,,br,wp,,bp,,bp,wq,,wp,wr,bp,,,,wn,,,,wp,,,wp,wp,,,,,wp,wp,wb,,,wk,,,,wr,,1,0.4954128440366973,-1,0
-12.160270529811497,-40.916363259725976,22,0,0,55,bk,br,,,,,,,bp,,,,bq,,bb,,wq,bn,,bp,,,bp,,,,br,wp,,bp,,bp,,,wp,wr,bp,,,,wn,,,,wp,,,wp,wp,,,,,wp,wp,wb,,,wk,,,,wr,,1,0.5045871559633027,-1,0
-12.225539250224733,-40.89374908359618,22,0,0,56,bk,br,,,,,,,bp,,,,bq,,,,wq,bn,,bp,,,bp,,,,br,wp,,bp,,bp,,,wp,bb,bp,,,,wn,,,,wp,,,wp,wp,,,,,wp,wp,wb,,,wk,,,,wr,,1,0.5137614678899083,-1,0
-12.283457690640612,-40.87049638342921,22,0,0,57,bk,br,,,,,,,bp,,,,bq,,,,wq,bn,,bp,,,bp,,,,br,wp,,bp,,bp,,,wp,wp,bp,,,,wn,,,,,,,wp,wp,,,,,wp,wp,wb,,,wk,,,,wr,,1,0.5229357798165137,-1,0
-34.92952815654489,-17.723499318558616,22,0,0,58,bk,br,br,,,,,,bp,,,,bq,,,,wq,bn,,bp,,,bp,,,,,wp,,bp,,bp,,,wp,wp,bp,,,,wn,,,,,,,wp,wp,,,,,wp,wp,wb,,,wk,,,,wr,,1,0.5321100917431193,-1,0
