x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22,multiplicity,age,groupLabel,clusterProbability
-1.1086198,35.41139, 0, intermediate, beginner,B,W,G,R,W,O,B,W,R,O,G,W,O,G,G,Y,G,G,W,Y,W,G,R,R,G,R,R,R,W,R,O,O,B,G,W,Y,O,Y,Y,Y,Y,Y,B,O,B,Y,B,O,B,B,B,W,R,O,1,0.30434782608695654,-1,1
-0.4918879,36.275547, 0, intermediate, beginner,R,W,R,R,W,O,B,W,R,O,G,W,O,G,G,Y,G,G,B,W,G,G,R,R,G,R,R,B,O,B,O,O,B,G,W,Y,O,Y,Y,Y,Y,Y,W,Y,W,O,B,O,B,B,R,Y,B,W,1,0.31521739130434784,-1,1
-0.07814465,35.67868, 0, intermediate, beginner,R,W,B,O,W,R,R,W,R,W,B,Y,O,G,G,Y,G,G,Y,W,G,B,R,R,B,R,R,B,O,G,O,O,G,G,W,B,O,Y,Y,Y,Y,Y,W,Y,W,O,B,O,B,B,R,W,G,O,1,0.32608695652173914,-1,1
-0.33522058,34.985783, 0, intermediate, beginner,Y,W,G,O,W,R,R,W,R,W,B,Y,O,G,G,Y,G,G,W,Y,W,B,R,R,B,R,R,R,W,B,O,O,G,G,W,B,O,Y,Y,Y,Y,Y,G,O,B,W,B,O,G,B,B,O,R,O,1,0.33695652173913043,-1,1
27.2464,22.453245, 0, intermediate, beginner,G,R,R,W,W,W,Y,O,R,B,G,B,O,G,G,Y,G,G,Y,Y,W,B,R,R,W,R,R,R,W,O,O,O,R,G,W,O,O,Y,Y,Y,Y,Y,G,O,B,W,B,O,G,B,B,W,B,B,1,0.34782608695652173,-1,1
15.845076,19.563763, 0, intermediate, beginner,R,W,O,W,W,W,Y,O,R,B,G,B,O,G,G,Y,G,G,G,R,R,B,R,R,W,R,R,B,O,G,O,O,R,G,W,O,O,Y,Y,Y,Y,Y,W,Y,Y,O,B,B,B,B,B,W,G,W,1,0.358695652173913,-1,1
1.2985166,34.951805, 0, intermediate, beginner,Y,W,R,O,W,W,R,W,O,W,B,G,O,G,G,Y,G,G,W,R,R,G,R,R,W,R,R,B,O,B,O,O,G,G,W,B,O,Y,Y,Y,Y,Y,W,Y,Y,O,B,B,B,B,B,O,R,G,1,0.3695652173913043,-1,1
18.214876,33.683804, 0, intermediate, beginner,O,W,R,Y,W,W,W,W,O,O,B,G,B,G,G,O,G,G,W,R,R,G,R,R,W,R,R,B,W,G,G,O,O,B,O,B,Y,Y,Y,O,Y,Y,R,Y,Y,W,B,B,O,B,B,Y,R,G,1,0.3804347826086957,-1,1
16.988804,33.145527, 0, intermediate, beginner,W,Y,O,W,W,W,O,W,R,W,G,W,B,G,G,O,G,G,Y,R,R,R,R,R,G,R,R,B,W,O,G,O,B,B,O,G,Y,Y,Y,O,Y,Y,R,Y,Y,W,B,B,O,B,B,B,O,G,1,0.391304347826087,-1,1
14.77109,32.69294, 0, intermediate, beginner,Y,Y,O,O,W,W,R,W,R,W,G,W,O,G,G,B,G,G,Y,R,R,R,R,R,G,R,R,G,O,B,B,O,G,O,W,B,W,Y,Y,W,Y,Y,O,Y,Y,W,B,B,B,B,B,O,O,G,1,0.40217391304347827,-1,1
