x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
34.036736, -11.358997, 0,state, 0, 23, 68, 68,O,W,W,W,W,R,G,W,R,O,G,Y,G,G,G,G,G,G,G,Y,Y,B,R,R,B,R,R,W,W,B,O,O,R,O,O,W,Y,Y,Y,Y,Y,Y,B,O,O,R,B,B,B,B,B,W,O,R
10.081, -19.103954, 0,state, 0, 19, 69, 69,W,W,B,W,W,R,G,W,R,O,G,Y,G,G,G,G,G,G,O,W,W,B,R,R,B,R,R,O,O,B,O,O,R,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,G,B,B,R,B,B,O,R,B,W
13.1956005, -19.204817, 0,state, 0, 18, 70, 70,G,W,W,W,W,W,R,R,B,B,B,O,G,G,G,G,G,G,R,W,W,B,R,R,W,R,R,O,O,O,O,O,G,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,G,B,B,R,B,B,O,W,R,B
35.91948, -13.811955, 0,state, 0, 24, 71, 71,R,W,W,W,W,W,R,R,B,B,B,O,G,G,G,G,G,G,G,Y,Y,B,R,R,W,R,R,G,W,W,O,O,G,O,O,Y,Y,Y,Y,Y,Y,Y,O,O,O,W,B,B,R,B,B,B,O,R
38.324646, -12.042245, 0,state, 0, 23, 72, 72,B,R,R,W,W,W,W,W,R,R,O,B,G,G,G,G,G,G,Y,Y,Y,G,R,R,W,R,R,G,W,W,O,O,B,O,O,G,Y,Y,Y,Y,Y,Y,O,O,O,W,B,B,R,B,B,O,B,B
17.841072, -10.519527, 0,state, 0, 13, 73, 73,G,W,W,W,W,W,W,W,R,R,O,B,G,G,G,G,G,G,B,R,R,G,R,R,W,R,R,O,O,O,O,O,B,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,R,O
11.900517, -9.098838, 0,state, 0, 10, 74, 74,W,W,G,W,W,W,R,W,W,W,G,B,G,G,G,G,G,G,W,R,R,R,R,R,O,R,R,O,O,R,O,O,O,O,O,B,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,B,O
30.409042, -22.150295, 0,state, 0, 19, 75, 75,W,W,G,W,W,W,O,R,R,B,G,G,G,G,G,W,G,G,W,R,R,R,R,R,Y,Y,Y,O,O,R,O,O,O,R,W,W,B,O,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,B,O
24.499557, -5.6934233, 0,state, 0, 24, 76, 76,O,W,W,R,W,W,R,W,G,Y,R,W,G,G,G,W,G,G,G,R,R,B,R,R,O,Y,Y,O,O,B,O,O,G,R,W,G,B,O,O,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,O,R
41.694958, -9.258723, 0,state, 0, 32, 77, 77,G,R,R,R,W,W,R,W,G,Y,R,W,G,G,G,W,G,G,Y,Y,Y,B,R,R,O,Y,Y,O,W,W,O,O,G,R,W,G,B,O,O,Y,Y,Y,B,O,O,W,B,B,O,B,B,R,B,B
42.932064, -12.685745, 0,state, 0, 30, 78, 78,R,W,G,R,W,W,G,R,R,W,G,G,G,G,G,W,G,G,W,Y,Y,R,R,R,Y,Y,Y,O,W,B,O,O,B,R,W,R,B,O,O,Y,Y,Y,B,O,O,W,B,B,O,B,B,Y,B,O
40.895657, -12.987668, 0,state, 0, 22, 79, 79,R,W,G,R,W,W,R,W,R,W,G,W,G,G,G,G,G,G,W,Y,Y,R,R,R,G,R,R,O,W,B,O,O,B,O,O,B,Y,Y,Y,Y,Y,Y,B,O,O,W,B,B,O,B,B,Y,B,O
39.220993, -10.208827, 0,state, 0, 21, 80, 80,R,R,R,W,W,W,R,W,G,G,R,W,G,G,G,G,G,G,Y,Y,Y,B,R,R,O,R,R,O,W,W,O,O,G,O,O,W,Y,Y,Y,Y,Y,Y,B,O,O,W,B,B,O,B,B,B,B,B
21.657793, -6.4886646, 0,state, 0, 12, 81, 81,O,W,W,W,W,W,R,W,G,G,R,W,G,G,G,G,G,G,R,R,R,B,R,R,O,R,R,O,O,B,O,O,G,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,O,B
9.708079, -6.71518, 0,state, 0, 11, 82, 82,W,W,G,W,W,W,O,W,R,B,G,W,G,G,G,G,G,G,W,R,R,R,R,R,G,R,R,O,O,B,O,O,O,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,R,B,O
31.304014, 0.021167396, 0,state, 0, 20, 83, 83,B,W,G,G,W,W,G,W,R,Y,G,W,Y,G,G,Y,G,G,W,R,R,R,R,R,G,R,R,B,O,W,O,O,O,O,O,O,B,Y,Y,B,Y,Y,R,Y,Y,W,B,B,W,B,B,O,B,O
26.854189, 0.48420262, 0,state, 0, 24, 84, 84,G,G,B,W,W,W,R,W,G,G,R,W,Y,G,G,Y,G,G,O,R,R,B,R,R,O,R,R,B,O,Y,O,O,G,O,O,W,B,Y,Y,B,Y,Y,R,Y,Y,W,B,B,W,B,B,O,O,W
-30.464756, -18.41968, 0,state, 0, 30, 85, 85,G,G,W,W,W,G,R,W,G,G,R,Y,Y,G,Y,Y,G,Y,O,B,O,R,R,R,R,R,R,B,O,Y,O,O,G,O,O,W,B,Y,B,B,Y,B,R,Y,W,W,B,B,W,B,W,O,O,G
-30.460598, -13.202624, 0,state, 0, 29, 86, 86,W,G,G,G,W,W,G,W,R,Y,G,W,Y,G,Y,Y,G,Y,Y,B,O,R,R,R,G,R,R,B,O,G,O,O,O,O,O,O,B,Y,B,B,Y,B,R,Y,W,W,B,B,W,B,W,O,R,R
-26.561092, -12.609921, 0,state, 0, 21, 87, 87,W,G,G,W,W,W,O,W,R,W,G,W,G,G,Y,G,G,Y,Y,B,O,R,R,R,G,R,R,O,O,B,O,O,O,O,O,G,Y,Y,B,Y,Y,B,Y,Y,W,B,B,B,B,B,W,R,R,R
-22.245766, -16.873335, 0,state, 0, 19, 88, 88,O,W,W,W,W,G,R,W,G,G,R,Y,G,G,Y,G,G,Y,R,B,O,R,R,R,R,R,R,O,O,W,O,O,G,O,O,W,Y,Y,B,Y,Y,B,Y,Y,W,B,B,B,B,B,W,G,O,B
20.950903, -5.5186243, 0,state, 0, 14, 89, 89,O,W,B,W,W,W,R,W,B,G,R,W,G,G,G,G,G,G,O,R,R,B,R,R,R,R,R,O,O,W,O,O,G,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,O,W
