x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-57.65904, -11.67687, 10, intermediate, beginner,R,W,W,W,W,W,G,W,W,Y,B,B,R,G,G,R,G,G,O,R,B,O,R,B,O,R,R,W,O,G,G,O,R,Y,Y,O,B,Y,Y,O,Y,Y,B,Y,Y,R,O,O,B,B,B,W,G,G
-51.424477, -8.138804, 10, intermediate, beginner,R,W,W,W,W,W,G,W,W,Y,B,B,R,G,G,W,G,Y,O,R,G,O,R,G,O,R,R,O,O,G,O,O,R,R,Y,O,B,O,B,Y,Y,Y,Y,Y,Y,B,B,R,B,B,B,W,G,G
-55.813065, -3.6673214, 10, intermediate, beginner,R,W,W,W,W,W,O,R,R,B,G,Y,B,G,G,Y,R,W,O,R,G,O,R,G,B,O,B,O,O,G,O,O,R,G,W,W,O,Y,R,Y,Y,Y,Y,Y,Y,B,B,R,B,B,B,W,G,G
-57.787704, -6.0061874, 10, intermediate, beginner,R,W,W,W,W,W,O,R,R,B,G,Y,B,G,G,B,G,G,O,R,B,O,R,B,B,O,R,Y,O,G,R,O,R,W,W,W,R,Y,Y,Y,Y,Y,O,Y,Y,G,O,O,B,B,B,W,G,G
-55.21682, -10.831303, 10, intermediate, beginner,R,W,W,W,W,W,W,W,W,B,B,B,G,G,G,G,G,Y,O,R,B,O,R,B,O,R,R,Y,O,G,R,O,R,Y,Y,R,R,O,B,Y,Y,Y,O,Y,Y,G,O,O,B,B,B,W,G,G
-51.057564, -5.116713, 10, intermediate, beginner,R,W,W,W,W,W,W,W,W,B,B,B,G,G,G,Y,R,Y,O,R,Y,O,R,G,O,R,G,O,O,G,O,O,R,G,Y,R,O,Y,R,Y,Y,O,Y,Y,B,B,B,R,B,B,B,W,G,G
-50.803074, -5.259576, 10, intermediate, beginner,W,W,W,W,W,W,R,W,W,G,R,R,G,G,G,Y,R,Y,B,R,Y,B,R,G,B,R,G,O,O,G,O,O,G,G,Y,W,O,Y,R,Y,Y,O,Y,Y,B,B,B,R,B,B,B,O,O,O
-55.037888, -0.8181119, 10, intermediate, beginner,W,W,W,W,W,W,B,R,G,R,G,Y,R,G,R,G,G,Y,B,R,Y,B,R,G,R,Y,O,O,O,G,O,O,G,R,W,W,W,Y,G,Y,Y,O,Y,Y,B,B,B,R,B,B,B,O,O,O
-60.78033, -4.5968375, 10, intermediate, beginner,W,W,W,W,W,W,B,R,G,R,G,Y,R,G,R,O,G,Y,B,R,B,B,R,B,R,Y,R,G,O,G,G,O,G,Y,W,W,G,O,B,Y,Y,Y,W,Y,Y,R,O,O,B,B,B,O,O,O
-59.961864, -14.539094, 10, intermediate, beginner,W,W,W,W,W,W,Y,W,W,O,R,R,G,G,G,Y,R,Y,B,R,B,B,R,B,B,R,G,G,O,G,G,O,G,B,O,G,R,Y,R,Y,Y,Y,W,Y,Y,R,O,O,B,B,B,O,O,O
