x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
35.62256, -0.42753917, 0,state, 0, 23, 59, 59,O,W,B,O,W,W,O,W,W,W,B,G,G,G,O,G,G,W,O,R,R,G,R,R,R,W,B,O,O,G,O,O,G,Y,Y,G,R,R,R,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,R,W
29.144073, 2.7328348, 0,state, 0, 22, 60, 60,B,W,W,W,W,W,O,O,O,G,G,G,G,G,O,G,G,W,G,R,R,B,R,R,W,W,B,O,O,W,O,O,R,Y,Y,Y,R,R,R,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,G,R
-6.5356593, -13.373236, 0,checkpoint, 0, 11, 61, 61,B,W,W,W,W,W,W,W,B,G,O,W,G,G,G,G,G,G,G,R,R,B,R,R,R,R,R,O,O,W,O,O,R,O,O,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,O,G,R
-2.8698323, -12.22599, 0,state, 0, 12, 62, 62,B,W,W,W,W,W,W,W,B,R,G,O,G,G,G,G,G,G,O,R,R,R,R,R,W,R,R,O,O,R,O,O,B,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,O,G
30.51168, 2.1116314, 0,state, 0, 21, 63, 63,B,W,W,W,W,W,O,O,G,G,G,R,G,G,G,G,G,O,O,R,R,R,R,R,W,W,B,O,O,R,O,O,B,Y,Y,Y,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,O,G
34.83441, -2.7369547, 0,state, 0, 23, 64, 64,O,W,B,O,W,W,G,W,W,W,R,O,G,G,G,G,G,O,W,R,R,O,R,R,G,W,B,O,O,G,O,O,G,Y,Y,R,R,R,W,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,B,R
-9.212075, -5.279379, 0,state, 0, 20, 65, 65,O,W,B,O,W,W,G,W,B,O,G,O,R,G,G,W,G,G,W,R,R,O,R,R,W,R,R,O,O,G,O,O,G,G,W,W,R,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,Y,B,R
-7.6027856, -4.978703, 0,state, 0, 19, 66, 66,G,O,O,W,W,W,B,W,B,W,O,W,R,G,G,W,G,G,Y,R,R,B,R,R,R,R,R,O,O,O,O,O,G,G,W,O,R,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,G,G
32.534798, -4.7861047, 0,state, 0, 25, 67, 67,G,O,O,W,W,W,G,W,O,W,R,W,G,G,O,G,G,W,Y,R,R,B,R,R,B,W,B,O,O,O,O,O,G,Y,Y,R,R,R,R,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,G,G
31.374683, 4.3228445, 0,state, 0, 23, 68, 68,O,W,G,W,W,W,O,O,G,G,G,W,G,G,O,G,G,W,R,R,R,G,R,R,O,W,B,O,O,B,O,O,B,Y,Y,Y,R,R,R,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,R,W
-0.1626564, -14.421468, 0,state, 0, 14, 69, 69,O,W,G,W,W,W,O,W,B,W,O,W,G,G,G,G,G,G,R,R,R,G,R,R,R,R,R,O,O,B,O,O,B,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,R,W
-5.2532, -8.256266, 0,state, 0, 11, 70, 70,O,W,O,W,W,W,B,W,G,R,G,R,G,G,G,G,G,G,W,R,R,R,R,R,W,R,R,O,O,W,O,O,O,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,G,B,B
2.1086104, -3.9100068, 0,state, 0, 18, 71, 71,R,W,O,G,W,W,G,W,G,Y,G,R,Y,G,G,Y,G,G,W,R,R,R,R,R,W,R,R,W,O,W,O,O,O,O,O,O,B,Y,Y,B,Y,Y,G,Y,Y,O,B,B,W,B,B,B,B,B
2.202038, -0.395013, 0,state, 0, 25, 72, 72,G,G,R,W,W,W,G,W,O,W,R,W,Y,G,G,Y,G,G,B,R,R,B,R,R,B,R,R,W,O,Y,O,O,G,O,O,R,B,Y,Y,B,Y,Y,G,Y,Y,O,B,B,W,B,B,O,O,W
