x,y,line,cp,algo,age,a8,b8,c8,d8,e8,f8,g8,h8,a7,b7,c7,d7,e7,f7,g7,h7,a6,b6,c6,d6,e6,f6,g6,h6,a5,b5,c5,d5,e5,f5,g5,h5,a4,b4,c4,d4,e4,f4,g4,h4,a3,b3,c3,d3,e3,f3,g3,h3,a2,b2,c2,d2,e2,f2,g2,h2,a1,b1,c1,d1,e1,f1,g1,h1
21.783295593877444,14.760074093448509,0,0,Nf3,39,br,,,,,br,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,bq,,,wp,bb,wp,,,,,wp,,wn,,wp,,wp,,,,,,,wq,wb,wp,wr,wr,,,,,wk,
21.59938850121317,14.61631464054688,0,0,Nf3,40,br,br,,,,,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,bq,,,wp,bb,wp,,,,,wp,,wn,,wp,,wp,,,,,,,wq,wb,wp,wr,wr,,,,,wk,
21.48109656493169,14.519690811100133,0,0,Nf3,41,br,br,,,,,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,bq,,,wp,bb,wp,,,,,wp,,wn,,wp,,wp,,,,,,,wq,,wp,wr,wr,,,,wb,wk,
21.420797240795153,14.468129133320744,0,0,Nf3,42,br,br,,,,,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,bq,,,wp,,wp,,,,,wp,,wn,,wp,,wp,,,,,,,wq,,wp,wr,wr,,,,bb,wk,
21.296123309659446,14.361183935853548,0,0,Nf3,43,br,br,,,,,bk,,,,,bn,,,,bp,,bp,bp,,bp,,bp,,bp,,wp,bp,wp,bp,bq,,,wp,,wp,,,,,wp,,wn,,wp,,wp,,,,,,,wq,,wp,wr,wr,,,,wk,,
21.108723174096692,14.207227148810325,0,0,Nf3,44,br,br,,,,,bk,,,,,bn,,,,bp,,,bp,,bp,,bp,,bp,bp,wp,bp,wp,bp,bq,,,wp,,wp,,,,,wp,,wn,,wp,,wp,,,,,,,wq,,wp,wr,wr,,,,wk,,
20.940496234771103,14.064113480286588,0,0,Nf3,45,br,br,,,,,bk,,,,,bn,,,,bp,,,bp,,bp,,bp,,bp,bp,wp,bp,wp,bp,bq,,,wp,,wp,,,,,wp,,,,wp,,wp,,,,,,wn,wq,,wp,wr,wr,,,,wk,,
20.73567510862811,13.884355063516143,0,0,Nf3,46,br,br,,,,,bk,,,,,bn,,,,bp,,,bp,,bp,,bp,bq,bp,bp,wp,bp,wp,bp,,,,wp,,wp,,,,,wp,,,,wp,,wp,,,,,,wn,wq,,wp,wr,wr,,,,wk,,
20.505119622991685,13.696788012627612,0,0,Nf3,47,br,br,,,,,bk,,,,,bn,,,,bp,,,bp,,bp,,bp,bq,bp,bp,wp,bp,wp,bp,,,,wp,,wp,,,,wp,wp,,,,wp,,wp,,,,,,wn,wq,,,wr,wr,,,,wk,,
20.284056246295023,13.509079355201008,0,0,Nf3,48,,br,,,,,bk,,br,,,bn,,,,bp,,,bp,,bp,,bp,bq,bp,bp,wp,bp,wp,bp,,,,wp,,wp,,,,wp,wp,,,,wp,,wp,,,,,,wn,wq,,,wr,wr,,,,wk,,
20.21301981583069,13.44802137865979,0,0,Nf3,49,,br,,,,,bk,,br,,,bn,,,,bp,,,bp,,bp,,bp,bq,bp,bp,wp,bp,wp,bp,,,,wp,,wp,,,,wp,wp,,,,wp,,wp,,,,,,,wq,,,wr,wr,wn,,,wk,,
20.061055768196095,13.320434717200111,0,0,Nf3,50,,br,,,,bn,bk,,br,,,,,,,bp,,,bp,,bp,,bp,bq,bp,bp,wp,bp,wp,bp,,,,wp,,wp,,,,wp,wp,,,,wp,,wp,,,,,,,wq,,,wr,wr,wn,,,wk,,
20.020639791795507,13.286505494104395,0,0,Nf3,51,,br,,,,bn,bk,,br,,,,,,,bp,,,bp,,bp,,bp,bq,bp,bp,wp,bp,wp,bp,,,,wp,,wp,,,,wp,wp,wn,,,wp,,wp,,,,,,,wq,,,wr,wr,,,,wk,,
