x,y,line{"project":false},cp{"project":false},algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-2.598849,3.2526064,0,checkpoint,beginner,9,93,93,W,W,B,W,W,W,G,W,R,O,G,W,G,G,G,G,G,G,W,R,R,R,R,R,G,R,R,O,O,O,O,O,O,O,O,W,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,B,B,R
-4.659915,2.7520833,0,state,beginner,17,94,94,W,W,B,W,W,B,G,W,R,O,G,B,G,G,W,G,G,R,R,R,R,R,R,R,W,R,G,O,O,O,O,O,O,O,O,W,Y,Y,W,Y,Y,G,Y,Y,G,B,B,Y,B,B,Y,B,B,Y
-8.795436,3.4319269999999995,0,state,beginner,25,95,95,W,W,B,W,W,B,G,W,R,O,G,B,G,G,W,G,R,R,R,R,B,R,R,B,W,R,Y,G,O,O,G,O,O,R,O,W,W,G,G,Y,Y,Y,Y,Y,Y,O,O,O,B,B,Y,B,B,Y
-7.124096000000001,5.3961844,0,state,beginner,21,96,96,W,W,B,W,W,W,G,W,R,O,G,G,G,G,Y,G,R,Y,W,R,R,R,R,R,Y,B,B,G,O,O,G,O,O,R,O,W,W,G,O,Y,Y,Y,Y,Y,Y,O,O,B,B,B,B,B,B,R
-5.425861,5.167917,0,state,beginner,19,97,97,W,W,B,W,W,W,G,W,R,O,G,G,G,G,Y,G,G,R,W,R,Y,R,R,R,Y,B,G,B,O,O,O,O,O,O,O,W,Y,Y,W,Y,Y,G,Y,Y,O,R,R,B,B,B,B,B,B,R
-6.125248,3.1465313,0,state,beginner,22,98,98,W,W,B,W,W,B,G,W,R,O,G,B,G,G,W,G,G,R,Y,R,G,R,R,B,W,R,Y,B,O,O,O,O,O,O,O,W,Y,Y,G,Y,Y,Y,Y,Y,R,R,R,W,B,B,G,B,B,O
-7.575361,3.1400902000000004,0,state,beginner,22,99,99,W,W,B,W,W,B,G,W,R,O,G,B,G,G,W,Y,B,G,Y,R,R,R,R,R,W,R,W,G,O,O,G,O,O,R,O,W,G,Y,R,Y,Y,Y,Y,Y,Y,O,O,B,B,B,G,B,B,O
-7.542145,4.4305444000000005,0,state,beginner,23,100,100,W,W,B,W,W,W,G,W,G,O,G,R,G,G,Y,Y,B,Y,W,R,Y,R,R,R,W,R,R,G,O,O,G,O,O,R,O,W,G,Y,B,Y,Y,G,Y,Y,O,O,O,B,B,B,B,B,B,R
-5.414743,4.1421266,0,state,beginner,22,101,101,W,W,B,W,W,W,G,W,G,O,G,R,G,G,Y,G,G,R,W,R,Y,R,R,B,W,R,Y,B,O,O,O,O,O,O,O,W,Y,Y,G,Y,Y,Y,O,G,B,Y,R,R,B,B,B,B,B,R
-6.280553299999999,1.9367796000000002,0,state,beginner,22,102,102,W,W,R,W,W,B,G,W,R,O,G,B,G,G,W,G,G,G,Y,B,Y,R,R,R,W,R,W,B,O,O,O,O,O,O,O,W,Y,Y,R,Y,Y,Y,O,G,R,Y,R,G,B,B,Y,B,B,B
-7.9539075,2.109068,0,state,beginner,26,103,103,W,W,R,W,W,B,G,W,R,O,G,B,G,G,W,W,R,Y,Y,B,Y,R,R,R,W,R,G,G,O,O,G,O,O,G,O,W,R,Y,R,Y,Y,G,Y,Y,O,O,O,B,B,B,Y,B,B,B
-8.705064,4.9857005999999995,0,state,beginner,24,104,104,W,W,B,W,W,W,G,W,Y,O,G,R,G,G,G,W,R,O,W,R,Y,R,R,B,G,R,Y,G,O,O,G,O,O,G,O,W,R,Y,B,Y,Y,Y,Y,Y,B,O,O,R,B,B,B,B,B,R
-3.8841186000000003,4.2151723,0,state,beginner,17,105,105,W,W,B,W,W,W,G,W,Y,O,G,R,G,G,G,G,G,G,W,R,O,R,R,R,G,R,W,R,O,O,O,O,O,O,O,W,Y,Y,R,Y,Y,Y,B,Y,B,Y,B,Y,B,B,B,B,B,R
-5.202514,2.2017925,0,state,beginner,21,106,106,W,W,Y,W,W,B,G,W,R,O,G,B,G,G,W,G,G,Y,O,R,W,R,R,R,W,R,G,R,O,O,O,O,O,O,O,W,Y,Y,R,Y,Y,G,B,Y,G,Y,B,R,B,B,Y,B,B,B
-9.133576,2.8349295,0,state,beginner,25,107,107,W,W,Y,W,W,B,G,W,R,O,G,B,G,G,W,G,R,W,O,R,Y,R,R,B,W,R,R,G,O,O,G,O,O,Y,O,W,R,G,G,Y,Y,Y,Y,Y,B,O,O,R,B,B,Y,B,B,B
-7.6816773000000005,5.848285,0,state,beginner,22,108,108,W,W,B,W,W,W,G,W,W,O,G,G,G,G,Y,G,R,B,W,R,O,R,R,R,R,B,Y,G,O,O,G,O,O,Y,O,W,R,G,R,Y,Y,Y,Y,Y,B,O,O,Y,B,B,B,B,B,R
-4.8909707000000004,5.631542,0,state,beginner,19,109,109,W,W,B,W,W,W,G,W,W,O,G,G,G,G,Y,G,G,Y,W,R,B,R,R,R,R,B,G,Y,O,O,O,O,O,O,O,W,Y,Y,R,Y,Y,G,B,Y,R,O,R,Y,B,B,B,B,B,R
8.255308,4.7318316,0,state,beginner,27,110,110,B,W,W,W,W,W,W,W,G,O,O,W,G,G,Y,G,G,Y,G,R,B,G,R,R,O,B,G,Y,O,R,O,O,B,O,O,B,Y,Y,R,Y,Y,G,B,Y,R,O,R,Y,B,B,B,W,R,R
